Index,Time    ,Station        ,Num   ,Name           ,Department,Department:2,UserID                    ,Status              ,Detail      
0001 ,07:32:17,   001         ,2006  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0002 ,07:56:42,   001         ,0018  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0003 ,08:04:53,   001         ,2101  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0004 ,08:14:44,   001         ,2090  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0005 ,08:19:14,   001         ,2002  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0006 ,08:20:26,   001         ,1052  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0007 ,08:27:01,   001         ,2016  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0008 ,08:27:13,   001         ,2050  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0009 ,08:27:23,   001         ,2023  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0010 ,08:27:51,   001         ,1053  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0011 ,08:29:16,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0012 ,08:29:25,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0013 ,08:29:34,   001         ,1012  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0014 ,08:29:56,   001         ,2104  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0015 ,08:31:11,   001         ,2044  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0016 ,08:32:01,   001         ,2037  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0017 ,08:34:56,   001         ,0024  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0018 ,08:43:43,   001         ,2094  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0019 ,08:43:53,   001         ,2013  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0020 ,08:45:24,   001         ,0035  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0021 ,08:46:19,   001         ,0030  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0022 ,08:47:02,   001         ,2003  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0023 ,08:47:48,   001         ,2096  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
0024 ,08:48:57,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0025 ,08:49:01,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0026 ,08:49:04,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0027 ,08:49:08,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0028 ,08:49:12,   001         ,      ,               ,          ,          ,                          ,(M56)Fingerprint Identify Failed,            
0029 ,08:49:16,   001         ,2010  ,               ,Dep_00    ,Dep2_00   ,                          ,(M39)Access by Finger/Vein,65535:00000 
